SourceFile,Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
001_D365FO_UI_Menu_アンケート.csv,アンケート,デザイン,,,回答グループ,"[""mainmenu"",""KM"",""Design""]",,,回答グループ
001_D365FO_UI_Menu_アンケート.csv,アンケート,デザイン,,,質問,"[""mainmenu"",""KM"",""Design""]",,,質問
001_D365FO_UI_Menu_アンケート.csv,アンケート,デザイン,,,アンケート,"[""mainmenu"",""KM"",""Design""]",,,アンケート
001_D365FO_UI_Menu_アンケート.csv,アンケート,デザイン,,,アンケート レポート,"[""mainmenu"",""KM"",""Design""]",,,アンケート レポート
001_D365FO_UI_Menu_アンケート.csv,アンケート,デザイン,,,質問と回答レポート,"[""mainmenu"",""KM"",""Design""]",,,質問と回答レポート
001_D365FO_UI_Menu_アンケート.csv,アンケート,配布,,,計画タイプ,"[""mainmenu"",""KM"",""Distribute""]",,,計画タイプ
001_D365FO_UI_Menu_アンケート.csv,アンケート,配布,,,参照のタイプ,"[""mainmenu"",""KM"",""Distribute""]",,,参照のタイプ
001_D365FO_UI_Menu_アンケート.csv,アンケート,配布,,,アンケート ユーザー グループ,"[""mainmenu"",""KM"",""Distribute""]",,,アンケート ユーザー グループ
001_D365FO_UI_Menu_アンケート.csv,アンケート,配布,,,アンケートのスケジュール,"[""mainmenu"",""KM"",""Distribute""]",,,アンケートのスケジュール
001_D365FO_UI_Menu_アンケート.csv,アンケート,配布,,,計画済回答セッション,"[""mainmenu"",""KM"",""Distribute""]",,,計画済回答セッション
001_D365FO_UI_Menu_アンケート.csv,アンケート,配布,,,計画済回答セッション レポート,"[""mainmenu"",""KM"",""Distribute""]",,,計画済回答セッション レポート
001_D365FO_UI_Menu_アンケート.csv,アンケート,配布,,,アンケートの記入,"[""mainmenu"",""KM"",""Distribute""]",,,アンケートの記入
001_D365FO_UI_Menu_アンケート.csv,アンケート,配布,,,個人別計画済回答セッション レポート,"[""mainmenu"",""KM"",""Distribute""]",,,個人別計画済回答セッション レポート
001_D365FO_UI_Menu_アンケート.csv,アンケート,結果の表示と分析,,,回答,"[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]",,,回答
001_D365FO_UI_Menu_アンケート.csv,アンケート,結果の表示と分析,,,個人別回答,"[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]",,,個人別回答
001_D365FO_UI_Menu_アンケート.csv,アンケート,結果の表示と分析,,,アンケート回答者,"[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]",,,アンケート回答者
001_D365FO_UI_Menu_アンケート.csv,アンケート,結果の表示と分析,,,アンケート結果,"[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]",,,アンケート結果
001_D365FO_UI_Menu_アンケート.csv,アンケート,結果の表示と分析,,,アンケートの統計情報,"[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]",,,アンケートの統計情報
001_D365FO_UI_Menu_アンケート.csv,アンケート,結果の表示と分析,,,回答集計レポート,"[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]",,,回答集計レポート
001_D365FO_UI_Menu_アンケート.csv,アンケート,結果の表示と分析,,,アンケート別回答レポート,"[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]",,,アンケート別回答レポート
001_D365FO_UI_Menu_アンケート.csv,アンケート,結果の表示と分析,,,個人別回答レポート,"[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]",,,個人別回答レポート
001_D365FO_UI_Menu_アンケート.csv,アンケート,結果の表示と分析,,,質問分析レポート,"[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]",,,質問分析レポート
001_D365FO_UI_Menu_アンケート.csv,アンケート,結果の表示と分析,,,フィードバック分析レポート,"[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]",,,フィードバック分析レポート
001_D365FO_UI_Menu_アンケート.csv,アンケート,結果の表示と分析,,,結果の削除,"[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]",,,結果の削除
001_D365FO_UI_Menu_アンケート.csv,アンケート,設定,,,アンケート パラメーター,"[""mainmenu"",""KM"",""Setup""]",,,アンケート パラメーター
001_D365FO_UI_Menu_アンケート.csv,アンケート,設定,,,アンケートのタイプ,"[""mainmenu"",""KM"",""Setup""]",,,アンケートのタイプ
001_D365FO_UI_Menu_アンケート.csv,アンケート,設定,,,質問タイプ,"[""mainmenu"",""KM"",""Setup""]",,,質問タイプ
002_D365FO_UI_Menu_エージェント.csv,エージェント,,,,エージェント (プレビュー),,,,エージェント (プレビュー)
002_D365FO_UI_Menu_エージェント.csv,エージェント,,,,エージェント活動 (プレビュー),,,,エージェント活動 (プレビュー)
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,ワークスペース,,,エンジニアリング変更管理,"[""mainmenu"",""EngChgProductEngineering"",""Workspaces""]",,,エンジニアリング変更管理
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,共通,,,リリースされた製品,"[""mainmenu"",""EngChgProductEngineering"",""Common""]",,,リリースされた製品
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,共通,エンジニアリング変更管理,,エンジニアリング変更命令,"[""mainmenu"",""EngChgProductEngineering"",""Common""]","[""mainmenu"",""EngChgProductEngineering"",""Common"",""EngChgEcmCommon""]",,エンジニアリング変更命令
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,共通,エンジニアリング変更管理,,エンジニアリング変更要求,"[""mainmenu"",""EngChgProductEngineering"",""Common""]","[""mainmenu"",""EngChgProductEngineering"",""Common"",""EngChgEcmCommon""]",,エンジニアリング変更要求
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,共通,製品リリース,,製品リリースを開く,"[""mainmenu"",""EngChgProductEngineering"",""Common""]","[""mainmenu"",""EngChgProductEngineering"",""Common"",""ProductRelease""]",,製品リリースを開く
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,共通,製品リリース,,すべての製品リリース,"[""mainmenu"",""EngChgProductEngineering"",""Common""]","[""mainmenu"",""EngChgProductEngineering"",""Common"",""ProductRelease""]",,すべての製品リリース
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,共通,製品準備完了,,自分のオープンな準備完了チェック,"[""mainmenu"",""EngChgProductEngineering"",""Common""]","[""mainmenu"",""EngChgProductEngineering"",""Common"",""ProductReadiness""]",,自分のオープンな準備完了チェック
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,照会およびレポート,,,エンジニアリング変更命令,"[""mainmenu"",""EngChgProductEngineering"",""Inquries""]",,,エンジニアリング変更命令
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,照会およびレポート,,,業務への影響,"[""mainmenu"",""EngChgProductEngineering"",""Inquries""]",,,業務への影響
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,照会およびレポート,,,送信された製品リリース,"[""mainmenu"",""EngChgProductEngineering"",""Inquries""]",,,送信された製品リリース
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,照会およびレポート,,,会社ごとの製品,"[""mainmenu"",""EngChgProductEngineering"",""Inquries""]",,,会社ごとの製品
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,照会およびレポート,,,エンジニアリング通知,"[""mainmenu"",""EngChgProductEngineering"",""Inquries""]",,,エンジニアリング通知
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,,,エンジニアリング変更管理のパラメーター,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]",,,エンジニアリング変更管理のパラメーター
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,,,エンジニアリング ワークフロー,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]",,,エンジニアリング ワークフロー
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,,,エンジニアリング組織,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]",,,エンジニアリング組織
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,,,エンジニアリング製品カテゴリの詳細,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]",,,エンジニアリング製品カテゴリの詳細
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,,,製品ライフサイクルの状態,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]",,,製品ライフサイクルの状態
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,,,製品バージョン番号ルール,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]",,,製品バージョン番号ルール
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,,,製品所有者,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]",,,製品所有者
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,,,製品リリース ポリシー,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]",,,製品リリース ポリシー
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,,,製品準備完了ポリシー,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]",,,製品準備完了ポリシー
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,属性,,属性タイプ,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""Attributes""]",,属性タイプ
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,属性,,エンジニアリング属性,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""Attributes""]",,エンジニアリング属性
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,エンジニアリング変更管理,,エンジニアリング変更カテゴリ,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""EngChgEcmSetup""]",,エンジニアリング変更カテゴリ
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,エンジニアリング変更管理,,エンジニアリング変更の優先順位,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""EngChgEcmSetup""]",,エンジニアリング変更の優先順位
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,エンジニアリング変更管理,,エンジニアリング変更理由,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""EngChgEcmSetup""]",,エンジニアリング変更理由
003_D365FO_UI_Menu_エンジニアリング変更管理.csv,エンジニアリング変更管理,設定,エンジニアリング変更管理,,材料廃棄コード,"[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""EngChgEcmSetup""]",,材料廃棄コード
